user,artist,plays
00000c289a1829a808ac09c00daf10bc3c4e223b,die Ärzte,1099
00000c289a1829a808ac09c00daf10bc3c4e223b,london after midnight,210
00000c289a1829a808ac09c00daf10bc3c4e223b,the killers,208
00000c289a1829a808ac09c00daf10bc3c4e223b,mutyumu,205
00000c289a1829a808ac09c00daf10bc3c4e223b,judas priest,198
00000c289a1829a808ac09c00daf10bc3c4e223b,rob zombie,198
00000c289a1829a808ac09c00daf10bc3c4e223b,the bosshoss,189
00000c289a1829a808ac09c00daf10bc3c4e223b,blue Öyster cult,185
00000c289a1829a808ac09c00daf10bc3c4e223b,sandra nasic,183
00000c289a1829a808ac09c00daf10bc3c4e223b,john mayer,182
00000c289a1829a808ac09c00daf10bc3c4e223b,sleater-kinney,175
00000c289a1829a808ac09c00daf10bc3c4e223b,disciple,154
00000c289a1829a808ac09c00daf10bc3c4e223b,tanzwut,153
00000c289a1829a808ac09c00daf10bc3c4e223b,guano apes,151
00000c289a1829a808ac09c00daf10bc3c4e223b,the rolling stones,150
00000c289a1829a808ac09c00daf10bc3c4e223b,little big town,145
00000c289a1829a808ac09c00daf10bc3c4e223b,team dresch,137
00000c289a1829a808ac09c00daf10bc3c4e223b,betty,135
00000c289a1829a808ac09c00daf10bc3c4e223b,l7,135
00000c289a1829a808ac09c00daf10bc3c4e223b,bif naked,134
00000c289a1829a808ac09c00daf10bc3c4e223b,girlschool,134
00000c289a1829a808ac09c00daf10bc3c4e223b,the wallflowers,131
00000c289a1829a808ac09c00daf10bc3c4e223b,rasputina,220
00000c289a1829a808ac09c00daf10bc3c4e223b,eluveitie,222
00000c289a1829a808ac09c00daf10bc3c4e223b,the who,168
00000c289a1829a808ac09c00daf10bc3c4e223b,all ends,229
00000c289a1829a808ac09c00daf10bc3c4e223b,jack johnson,227
00000c289a1829a808ac09c00daf10bc3c4e223b,melissa etheridge,897
00000c289a1829a808ac09c00daf10bc3c4e223b,elvenking,717
00000c289a1829a808ac09c00daf10bc3c4e223b,juliette & the licks,706
00000c289a1829a808ac09c00daf10bc3c4e223b,red hot chili peppers,691
00000c289a1829a808ac09c00daf10bc3c4e223b,magica,545
00000c289a1829a808ac09c00daf10bc3c4e223b,the black dahlia murder,507
00000c289a1829a808ac09c00daf10bc3c4e223b,lunachicks,403
00000c289a1829a808ac09c00daf10bc3c4e223b,walls of jericho,393
00000c289a1829a808ac09c00daf10bc3c4e223b,letzte instanz,387
00000c289a1829a808ac09c00daf10bc3c4e223b,goldfrapp,361
00000c289a1829a808ac09c00daf10bc3c4e223b,the murmurs,424
00000c289a1829a808ac09c00daf10bc3c4e223b,horrorpops,358
00000c289a1829a808ac09c00daf10bc3c4e223b,edguy,232
00000c289a1829a808ac09c00daf10bc3c4e223b,schandmaul,244
00000c289a1829a808ac09c00daf10bc3c4e223b,le tigre,281
00000c289a1829a808ac09c00daf10bc3c4e223b,all:my:faults,288
00000c289a1829a808ac09c00daf10bc3c4e223b,maximum the hormone,231
00000c289a1829a808ac09c00daf10bc3c4e223b,babes in toyland,310
00000c289a1829a808ac09c00daf10bc3c4e223b,jack off jill,316
00000c289a1829a808ac09c00daf10bc3c4e223b,the butchies,329
00000c289a1829a808ac09c00daf10bc3c4e223b,dropkick murphys,302
00001411dc427966b17297bf4d69e7e193135d89,boys noize,748
00001411dc427966b17297bf4d69e7e193135d89,animal collective,1373
00001411dc427966b17297bf4d69e7e193135d89,heavy heavy low low,1323
00001411dc427966b17297bf4d69e7e193135d89,hot hot heat,1312
00001411dc427966b17297bf4d69e7e193135d89,hadouken!,1254
00001411dc427966b17297bf4d69e7e193135d89,the wombats,1244
00001411dc427966b17297bf4d69e7e193135d89,ai aso,1232
00001411dc427966b17297bf4d69e7e193135d89,boris with michio kurihara,1034
00001411dc427966b17297bf4d69e7e193135d89,uffie,977
00001411dc427966b17297bf4d69e7e193135d89,the last shadow puppets,961
00001411dc427966b17297bf4d69e7e193135d89,built to spill,731
00001411dc427966b17297bf4d69e7e193135d89,digitalism,505
00001411dc427966b17297bf4d69e7e193135d89,the rocket summer,691
00001411dc427966b17297bf4d69e7e193135d89,little dragon,672
00001411dc427966b17297bf4d69e7e193135d89,boris with merzbow,636
00001411dc427966b17297bf4d69e7e193135d89,the album leaf,622
00001411dc427966b17297bf4d69e7e193135d89,the microphones,606
00001411dc427966b17297bf4d69e7e193135d89,simian mobile disco,603
00001411dc427966b17297bf4d69e7e193135d89,m.i.a.,589
00001411dc427966b17297bf4d69e7e193135d89,death cab for cutie,587
00001411dc427966b17297bf4d69e7e193135d89,patrick wolf,564
00001411dc427966b17297bf4d69e7e193135d89,the fiery furnaces,543
00001411dc427966b17297bf4d69e7e193135d89,the secret handshake,1384
00001411dc427966b17297bf4d69e7e193135d89,nujabes,707
00001411dc427966b17297bf4d69e7e193135d89,queen,1404
00001411dc427966b17297bf4d69e7e193135d89,owl city,3147
00001411dc427966b17297bf4d69e7e193135d89,michio kurihara,1530
00001411dc427966b17297bf4d69e7e193135d89,the most serene republic,12763
00001411dc427966b17297bf4d69e7e193135d89,mgmt,1468
00001411dc427966b17297bf4d69e7e193135d89,broken social scene,6413
00001411dc427966b17297bf4d69e7e193135d89,have heart,5361
00001411dc427966b17297bf4d69e7e193135d89,luminous orange,5120
00001411dc427966b17297bf4d69e7e193135d89,boris,5110
00001411dc427966b17297bf4d69e7e193135d89,arctic monkeys,4811
00001411dc427966b17297bf4d69e7e193135d89,bright eyes,4283
00001411dc427966b17297bf4d69e7e193135d89,coaltar of the deepers,4143
00001411dc427966b17297bf4d69e7e193135d89,polar bear club,4091
00001411dc427966b17297bf4d69e7e193135d89,the libertines,3916
00001411dc427966b17297bf4d69e7e193135d89,death from above 1979,3315
00001411dc427966b17297bf4d69e7e193135d89,stars,8192
00001411dc427966b17297bf4d69e7e193135d89,coldplay,2658
00001411dc427966b17297bf4d69e7e193135d89,cancer bats,1703
00001411dc427966b17297bf4d69e7e193135d89,the strokes,1854
00001411dc427966b17297bf4d69e7e193135d89,arcade fire,1899
00001411dc427966b17297bf4d69e7e193135d89,mstrkrft,2102
00001411dc427966b17297bf4d69e7e193135d89,the honorary title,1682
00001411dc427966b17297bf4d69e7e193135d89,fear before the march of flames,2362
00001411dc427966b17297bf4d69e7e193135d89,deerhoof,2369
00001411dc427966b17297bf4d69e7e193135d89,jim sturgess,2427
00001411dc427966b17297bf4d69e7e193135d89,okkervil river,2641
00001411dc427966b17297bf4d69e7e193135d89,breathe carolina,2259
00004d2ac9316e22dc007ab2243d6fcb239e707d,the one ensemble,55
00004d2ac9316e22dc007ab2243d6fcb239e707d,ghq,71
00004d2ac9316e22dc007ab2243d6fcb239e707d,daniel higgs,67
00004d2ac9316e22dc007ab2243d6fcb239e707d,flairck,66
00004d2ac9316e22dc007ab2243d6fcb239e707d,jack rose,66
00004d2ac9316e22dc007ab2243d6fcb239e707d,castanets,64
00004d2ac9316e22dc007ab2243d6fcb239e707d,john jacob niles,57
00004d2ac9316e22dc007ab2243d6fcb239e707d,the revolutionary army of the infant jesus,57
00004d2ac9316e22dc007ab2243d6fcb239e707d,carter tutti,56
00004d2ac9316e22dc007ab2243d6fcb239e707d,jocelyn pook,53
00004d2ac9316e22dc007ab2243d6fcb239e707d,a hawk and a hacksaw,45
00004d2ac9316e22dc007ab2243d6fcb239e707d,ulver,52
00004d2ac9316e22dc007ab2243d6fcb239e707d,ane brun,51
00004d2ac9316e22dc007ab2243d6fcb239e707d,soisong,51
00004d2ac9316e22dc007ab2243d6fcb239e707d,baby dee,71
00004d2ac9316e22dc007ab2243d6fcb239e707d,frank london,45
00004d2ac9316e22dc007ab2243d6fcb239e707d,michael gira,44
00004d2ac9316e22dc007ab2243d6fcb239e707d,larkin grimm,43
00004d2ac9316e22dc007ab2243d6fcb239e707d,pelt,41
00004d2ac9316e22dc007ab2243d6fcb239e707d,jean parlette,40
00004d2ac9316e22dc007ab2243d6fcb239e707d,matmos,53
00004d2ac9316e22dc007ab2243d6fcb239e707d,nurse with wound,88
00004d2ac9316e22dc007ab2243d6fcb239e707d,orion rigel dommisse,54
00004d2ac9316e22dc007ab2243d6fcb239e707d,björk,99
00004d2ac9316e22dc007ab2243d6fcb239e707d,coil,567
00004d2ac9316e22dc007ab2243d6fcb239e707d,andrew liles,248
00004d2ac9316e22dc007ab2243d6fcb239e707d,six organs of admittance,242
00004d2ac9316e22dc007ab2243d6fcb239e707d,16 horsepower,225
