artist_id,artist
4033,die Ärzte
8810,london after midnight
14939,the killers
10289,mutyumu
7660,judas priest
12339,rob zombie
14502,the bosshoss
2011,blue Öyster cult
12697,sandra nasic
7487,john mayer
13325,sleater-kinney
4094,disciple
14198,tanzwut
6181,guano apes
15243,the rolling stones
8752,little big town
14235,team dresch
1724,betty
8304,l7
1744,bif naked
5907,girlschool
15486,the wallflowers
12039,rasputina
4777,eluveitie
15504,the who
643,all ends
7047,jack johnson
9658,melissa etheridge
4780,elvenking
7702,juliette & the licks
12105,red hot chili peppers
9173,magica
14465,the black dahlia murder
9049,lunachicks
16462,walls of jericho
8609,letzte instanz
5990,goldfrapp
15074,the murmurs
6622,horrorpops
4592,edguy
12798,schandmaul
8477,le tigre
657,all:my:faults
9573,maximum the hormone
1399,babes in toyland
7049,jack off jill
14534,the butchies
4414,dropkick murphys
2196,boys noize
913,animal collective
6409,heavy heavy low low
6636,hot hot heat
6249,hadouken!
15511,the wombats
427,ai aso
2151,boris with michio kurihara
16088,uffie
14964,the last shadow puppets
2397,built to spill
4046,digitalism
15239,the rocket summer
8758,little dragon
2150,boris with merzbow
14381,the album leaf
15044,the microphones
13198,simian mobile disco
9100,m.i.a.
3776,death cab for cutie
11271,patrick wolf
14751,the fiery furnaces
15276,the secret handshake
10811,nujabes
11901,queen
11103,owl city
9817,michio kurihara
15065,the most serene republic
9746,mgmt
2317,broken social scene
6368,have heart
9041,luminous orange
2144,boris
1087,arctic monkeys
2295,bright eyes
3104,coaltar of the deepers
11674,polar bear club
14973,the libertines
3777,death from above 1979
13700,stars
3143,coldplay
2546,cancer bats
15368,the strokes
1074,arcade fire
10224,mstrkrft
14872,the honorary title
5199,fear before the march of flames
3819,deerhoof
7356,jim sturgess
10902,okkervil river
2254,breathe carolina
15109,the one ensemble
5854,ghq
3520,daniel higgs
5342,flairck
7051,jack rose
2680,castanets
7478,john jacob niles
15233,the revolutionary army of the infant jesus
2651,carter tutti
7401,jocelyn pook
175,a hawk and a hacksaw
16117,ulver
872,ane brun
13426,soisong
1403,baby dee
5490,frank london
9774,michael gira
8409,larkin grimm
11365,pelt
7240,jean parlette
9518,matmos
10819,nurse with wound
11028,orion rigel dommisse
1850,björk
3130,coil
833,andrew liles
13248,six organs of admittance
36,16 horsepower
888,angels of light
14969,the legendary pink dots
2792,charalambides
5250,festival
5238,fern knight
10594,nick cave & the bad seeds
3368,current 93
5454,fovea hex
706,amanda rogers
9072,lux interna
10396,nalle
1016,antony and the johnsons
9368,marissa nadler
191,a silver mt. zion
4634,einstürzende neubauten
9278,marc almond
9347,mariee sioux
1790,bill fay
11150,pain of salvation
6114,green carnation
4399,dredg
7444,johann sebastian bach
2881,children of bodom
5162,farmakon
7791,kalmah
12218,rhapsody of fire
4383,dragonforce
15018,the mars volta
10377,naglfar
1079,arch enemy
1241,at the gates
3186,compay segundo
4875,ensiferum
10554,nevermore
10913,old mans child
13000,shade empire
14104,system of a down
15954,tristania
618,alice in chains
15821,tool
394,agalloch
2351,brujeria
10994,opeth
10300,my dying bride
2553,cannibal corpse
4739,elis
746,amoral
743,amon amarth
12326,riverside
1278,atrocity
8231,kromlek
7794,kamelot
10788,novembers doom
11661,poe
3582,dark tranquillity
13833,stone temple pilots
4008,dido
3398,cynic
10340,månegarm
3772,death
4060,dimmu borgir
8183,korpiklaani
1105,ark
7869,katatonia
1298,audioslave
3007,circus maximus
2309,broadcast
14020,susumu yokota
4689,electrelane
10548,neutral milk hotel
1675,bent
16304,vetiver
7754,k-the-i???
6819,illogic
956,annie
1573,beastie boys
11964,radiohead
9742,mf doom
14499,the books
1742,bibio
11948,rachel's
1084,architecture in helsinki
2083,bola
6986,isan
10346,múm
2598,caribou
4765,elliott smith
369,aesop rock
1315,autechre
2033,boards of canada
9565,max richter
16538,why?
3958,devendra banhart
3120,cocorosie
1037,aphex twin
1265,atmosphere
443,air
11714,portishead
9489,massive attack
7396,joanna newsom
5411,fog
11742,prefuse 73
9106,m83
14761,the flashbulb
11328,pavement
745,amon tobin
12622,sage francis
5450,four tet
11601,plaid
2333,brother ali
11566,pink floyd
8536,lemon jelly
15187,the prodigy
4167,dj format
14648,the decemberists
1544,battles
13399,snow patrol
4523,earth
12330,rjd2
9736,metronomy
14759,the flaming lips
8491,led zeppelin
11239,passion pit
6589,holy fuck
9778,michael jackson
8435,late of the pier
5368,flight of the conchords
10272,muse
5357,fleetwood mac
3755,deadmau5
521,alasdair fraser & paul machlis
2120,bonobo
1598,beck
12585,röyksopp
14863,the hold steady
10025,mogwai
7728,justice
13160,sigur rós
3095,clutch
16528,white denim
14816,the go! team
47,2 many dj's
16024,tv on the radio
8292,kyuss
4215,dj shadow
200,a tribe called quest
14580,the cinematic orchestra
12215,rex the dog
2096,bon iver
14445,the beatles
8032,killswitch engage
9262,manowar
1180,asa
5791,gentleman
8107,klamydia
14215,tarot
13324,slayer
10345,mötley crüe
6853,in flames
11184,pantera
13830,stone
2402,bullet for my valentine
10041,mokoma
2334,brother firetribe
6693,hurriganes
10762,norther
13852,stratovarius
8097,kiuas
11118,ozzy osbourne
13506,soul captain band
13281,skid row
11214,paramore
14634,the darkness
2046,bob marley & the wailers
10738,nopsajalka
13673,stam1na
4393,dream theater
283,ac/dc
9728,metallica
6977,iron maiden
9640,megadeth
15958,trivium
10634,nightwish
8187,kotiteollisuus
11935,raappana
13897,sublime
16343,viikate
16419,volbeat
6200,guns n' roses
2097,bon jovi
4070,dio
13437,soldiers of jah army
12819,scorpions
14327,teräsbetoni
8991,lucie silvas
3859,delta goodrem
9812,michelle branch
10429,natalie imbruglia
7931,kelly clarkson
8714,linkin park
1958,blink-182
9148,madonna
10515,nelly furtado
6300,hans zimmer
10565,new order
3634,dave gahan
12855,seal
10209,mr. oizo
1417,backstreet boys
9464,mary j. blige
10484,negative
7735,justin timberlake
12752,savage garden
10532,nerina pallot
4905,erasure
3359,culture club
12342,robbie williams
1269,atomic kitten
203,a-ha
4776,elton john
10014,modern talking
11555,pin
12295,rihanna
11022,orgy
2230,brandy
11411,pet shop boys
12613,sade
1628,belinda carlisle
5003,eurythmics
9861,mike oldfield
6271,hall & oates
2924,chris rea
5209,feel
15489,the waterboys
8440,laura branigan
8699,limp bizkit
11819,pseudo echo
3396,cyndi lauper
1902,blackfield
3929,desireless
5613,frozen silence
1857,black
5809,george michael
8562,leona lewis
9123,maciej silski
14055,sweet coffee
9230,malu
6291,hanna
5326,fito & fitipaldis
3658,david bisbal
3260,coti
11322,paulina rubio
3133,colbie caillat
4601,edurne
12473,rosana
7278,jennifer lopez
765,amy winehouse
4612,efecto mariposa
4649,el arrebato
4869,enrique iglesias
9627,mecano
11484,phil collins
16078,u2
12861,sean kingston
2529,camila
14128,t.a.t.u.
2438,bustamante
777,ana torroja
1733,beyoncé
1868,black eyed peas
1012,antonio orozco
3795,decai
9279,marc anthony
9268,manuel carrasco
9848,mika
7658,juanes
8013,kiko & shara
9655,melendi
709,amaral
857,andy & lucas
2776,chambao
2832,chayanne
2935,christian castro
2942,christina aguilera
3286,craig david
9022,luis fonsi
8330,la oreja de van gogh
12961,sergio contreras
10806,nubreed & luke chable
1935,blessthefall
7575,jonathan coulton
5670,future prophecies
11785,prodigy
843,andrew w.k.
2074,bodyjar
4350,dover
6603,hoobastank
4421,drumattic twins
5518,franz ferdinand
13549,southside rockers
7448,johannes linstead
5178,fatboy slim
3599,darude
471,akira yamaoka
1059,aqua
3054,clawfinger
4479,dusty kid
12937,senses fail
3180,commix
11179,panic at the disco
4861,enigma
8233,krs-one
4416,drowning pool
11599,placebo
6885,infected mushroom
4409,"drop dead, gorgeous"
5400,flying steps
16230,vanessa-mae
16935,Тартак
4432,dub fx
2182,box car racer
16731,zebrahead
11305,paul oakenfold
11370,pendulum
12452,ronald jenkees
13936,sum 41
886,angels & airwaves
6254,haggard
623,alien ant farm
15105,the offspring
16902,Океан Ельзи
12453,ronan hardiman
2094,bomfunk mcs
1997,blu mar ten
12847,scum of the earth
12309,rise against
16830,Бумбокс
15200,the qemists
4819,eminem
17019,川田まみ
14622,the crystal method
13189,silverstein
9886,millencolin
6632,hot chip
13318,slagsmålsklubben
9407,markus krunegård
11930,r.e.m.
3892,deportees
14956,the kooks
